time,player,actor_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,boost,throttle,steer
8.329116,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.3957815,BALL,0,0.0,0.0,92.75,,,,,,
8.3957815,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.3957815,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
8.3957815,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,141.0
8.3957815,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.3957815,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.3957815,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.49578,BALL,0,0.0,0.0,92.75,,,,,,
8.49578,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.49578,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
8.49578,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,128.0
8.49578,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.49578,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.49578,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.562446,BALL,0,0.0,0.0,92.75,,,,,,
8.562446,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.562446,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,,
8.562446,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,163.0
8.562446,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.562446,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.562446,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.595778,BALL,0,0.0,0.0,92.75,,,,,,
8.595778,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.595778,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,204.0,
8.595778,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,163.0
8.595778,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.595778,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.595778,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.629111,BALL,0,0.0,0.0,92.75,,,,,,
8.629111,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.629111,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.629111,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,243.0
8.629111,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.629111,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.629111,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.662444,BALL,0,0.0,0.0,92.75,,,,,,
8.662444,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.662444,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.662444,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,251.0
8.662444,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.662444,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.662444,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.72911,BALL,0,0.0,0.0,92.75,,,,,,
8.72911,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.72911,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.72911,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,253.0
